lat,long,nombre_estacion,id_estacion,capacidad,dirección_completa,direccion_nombre,direccion_altura,direccion_interseccion,barrio
-34.6060382,-58.46481,319 - Cervantes y Trelles,380,20,Cervantes 1683,Cervantes,1683,,Villa General Mitre
-34.6153,-58.4665179,274 - Plaza Nuestra Señora de la Asuncion,381,16,Gavilan 1300,Gavilan,1300,,Villa General Mitre
-34.605452,-58.477426,204 - Biarritz,382,16,Biarritz 2403,Biarritz,2403,,Villa Del Parque
-34.571621,-58.489026,263 - Plaza Echeverria,383,20,Nahuel Huapi y Triunvirato Av.,Nahuel Huapi,,Triunvirato Av.,Villa Urquiza
-34.579734,-58.4618523,267 - Plaza 25 De Agosto,384,16,14 De Julio 1194, De Julio,1194,,Villa Ortuzar
-34.6061187,-58.4934192,268 - Plaza Aristóbulo Del Valle,385,16,"Campana y Sastre, Marcos",Campana,,"Sastre, Marcos",Villa Del Parque
-34.5656428,-58.475512,277 - Coghlan,386,8,Estomba 2647,Estomba,2647,,Coghlan
-34.6019716,-58.4655301,278 - Donato Alvarez,387,16,"Garcia, Juan Agustin 1540","Garcia, Juan Agustin",1540,,Paternal
-34.580927,-58.48455,279 - Andonaegui,388,20,Andonaegui 1902,Andonaegui,1902,,Villa Urquiza
-34.62795,-58.44024,286 - OEA,389,20,Barco Centenera Del 741,Barco Centenera Del,741,,Caballito
-34.547758,-58.459881,288- 11 de septiembre,390,28,11 De Septiembre De 1888 3314, De Septiembre De,3314,,Nuñez
-34.5508944,-58.4719176,295 - Larralde,391,20,Vidal 3607,Vidal,3607,,Saavedra
-34.554754,-58.485419,297 - TRONADOR Y GARCÍA DEL RÍO,392,16,Tronador y Garcia Del Rio,Tronador,,Garcia Del Rio,Coghlan
-34.590848,-58.468535,300 - Jose Artigas,393,12,Balboa 524,Balboa,524,,Paternal
-34.649578,-58.462646,302 - Plaza Jose Marti,394,20,"Acosta, Mariano 1801","Acosta, Mariano",1801,,Flores
